Position,Decimal,Name,Appearance
0x0069,105,LATIN SMALL LETTER I,i
0x006A,106,LATIN SMALL LETTER J,j
0x006B,107,LATIN SMALL LETTER K,k
0x006C,108,LATIN SMALL LETTER L,l
0x006D,109,LATIN SMALL LETTER M,m
0x006E,110,LATIN SMALL LETTER N,n
0x006F,111,LATIN SMALL LETTER O,o
0x0070,112,LATIN SMALL LETTER P,p
0x0071,113,LATIN SMALL LETTER Q,q
0x0072,114,LATIN SMALL LETTER R,r
0x0073,115,LATIN SMALL LETTER S,s
0x0074,116,LATIN SMALL LETTER T,t
0x0075,117,LATIN SMALL LETTER U,u
0x0076,118,LATIN SMALL LETTER V,v
0x0077,119,LATIN SMALL LETTER W,w
0x0078,120,LATIN SMALL LETTER X,x
0x0079,121,LATIN SMALL LETTER Y,y
0x007A,122,LATIN SMALL LETTER Z,z
0x007B,123,LEFT CURLY BRACKET,{
0x007C,124,VERTICAL LINE,|
0x007D,125,RIGHT CURLY BRACKET,}
0x007E,126,TILDE,~
0x007F,127,<control>: DELETE,
,,,
0x0080,128,<control>: ,€
0x0081,129,<control>: ,�
0x0082,130,<control>: BREAK PERMITTED HERE,‚
0x0083,131,<control>: NO BREAK HERE,ƒ
0x0084,132,<control>: ,„
0x0085,133,<control>: NEXT LINE,…
0x0086,134,<control>: START OF SELECTED AREA,†
0x0087,135,<control>: END OF SELECTED AREA,‡
0x0088,136,<control>: CHARACTER TABULATION SET,ˆ
0x0089,137,<control>: CHARACTER TABULATION WITH JUSTIFICATION,‰
0x008A,138,<control>: LINE TABULATION SET,Š
0x008B,139,<control>: PARTIAL LINE DOWN,‹
0x008C,140,<control>: PARTIAL LINE UP,Œ
0x008D,141,<control>: REVERSE LINE FEED,�
0x008E,142,<control>: SINGLE SHIFT TWO,Ž
0x008F,143,<control>: SINGLE SHIFT THREE,�
0x0090,144,<control>: DEVICE CONTROL STRING,�
0x0091,145,<control>: PRIVATE USE ONE,‘
0x0092,146,<control>: PRIVATE USE TWO,’
0x0093,147,<control>: SET TRANSMIT STATE,“
0x0094,148,<control>: CANCEL CHARACTER,”
0x0095,149,<control>: MESSAGE WAITING,•
0x0096,150,<control>: START OF GUARDED AREA,–
0x0097,151,<control>: END OF GUARDED AREA,—
0x0098,152,<control>: START OF STRING,˜
0x0099,153,<control>: ,™
0x009A,154,<control>: SINGLE CHARACTER INTRODUCER,š
0x009B,155,<control>: CONTROL SEQUENCE INTRODUCER,›
0x009C,156,<control>: STRING TERMINATOR,œ
0x009D,157,<control>: OPERATING SYSTEM COMMAND,�
0x009E,158,<control>: PRIVACY MESSAGE,ž
0x009F,159,<control>: APPLICATION PROGRAM COMMAND,Ÿ
0x00A0,160,NO-BREAK SPACE, 
0x00A1,161,INVERTED EXCLAMATION MARK,ˇ
0x00A2,162,CENT SIGN,˘
0x00A3,163,POUND SIGN,Ł
0x00A4,164,CURRENCY SIGN,¤
0x00A5,165,YEN SIGN,Ą
0x00A6,166,BROKEN BAR,¦
0x00A7,167,SECTION SIGN,§
0x00A8,168,DIAERESIS,¨
0x00A9,169,COPYRIGHT SIGN,©
0x00AA,170,FEMININE ORDINAL INDICATOR,Ş
0x00AB,171,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,«
0x00AC,172,NOT SIGN,¬
0x00AD,173,SOFT HYPHEN,­
0x00AE,174,REGISTERED SIGN,®
0x00AF,175,MACRON,Ż
0x00B0,176,DEGREE SIGN,°
0x00B1,177,PLUS-MINUS SIGN,±
0x00B2,178,SUPERSCRIPT TWO,˛
0x00B3,179,SUPERSCRIPT THREE,ł
0x00B4,180,ACUTE ACCENT,´
0x00B5,181,MICRO SIGN,µ
0x00B6,182,PILCROW SIGN,¶
0x00B7,183,MIDDLE DOT,·
0x00B8,184,CEDILLA,¸
0x00B9,185,SUPERSCRIPT ONE,ą
0x00BA,186,MASCULINE ORDINAL INDICATOR,ş
0x00BB,187,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,»
0x00BC,188,VULGAR FRACTION ONE QUARTER,Ľ
0x00BD,189,VULGAR FRACTION ONE HALF,˝
0x00BE,190,VULGAR FRACTION THREE QUARTERS,ľ
0x00BF,191,INVERTED QUESTION MARK,ż
0x00C0,192,LATIN CAPITAL LETTER A WITH GRAVE,Ŕ
0x00C1,193,LATIN CAPITAL LETTER A WITH ACUTE,Á
0x00C2,194,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,Â
0x00C3,195,LATIN CAPITAL LETTER A WITH TILDE,Ă
0x00C4,196,LATIN CAPITAL LETTER A WITH DIAERESIS,Ä
0x00C5,197,LATIN CAPITAL LETTER A WITH RING ABOVE,Ĺ
0x00C6,198,LATIN CAPITAL LETTER AE,Ć
0x00C7,199,LATIN CAPITAL LETTER C WITH CEDILLA,Ç
0x00C8,200,LATIN CAPITAL LETTER E WITH GRAVE,Č
0x00C9,201,LATIN CAPITAL LETTER E WITH ACUTE,É
0x00CA,202,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,Ę
0x00CB,203,LATIN CAPITAL LETTER E WITH DIAERESIS,Ë
0x00CC,204,LATIN CAPITAL LETTER I WITH GRAVE,Ě
0x00CD,205,LATIN CAPITAL LETTER I WITH ACUTE,Í
0x00CE,206,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,Î
0x00CF,207,LATIN CAPITAL LETTER I WITH DIAERESIS,Ď
0x00D0,208,LATIN CAPITAL LETTER ETH,Đ
0x00D1,209,LATIN CAPITAL LETTER N WITH TILDE,Ń
0x00D2,210,LATIN CAPITAL LETTER O WITH GRAVE,Ň
0x00D3,211,LATIN CAPITAL LETTER O WITH ACUTE,Ó
0x00D4,212,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,Ô
0x00D5,213,LATIN CAPITAL LETTER O WITH TILDE,Ő
0x00D6,214,LATIN CAPITAL LETTER O WITH DIAERESIS,Ö
0x00D7,215,MULTIPLICATION SIGN,×
0x00D8,216,LATIN CAPITAL LETTER O WITH STROKE,Ř
0x00D9,217,LATIN CAPITAL LETTER U WITH GRAVE,Ů
0x00DA,218,LATIN CAPITAL LETTER U WITH ACUTE,Ú
0x00DB,219,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,Ű
0x00DC,220,LATIN CAPITAL LETTER U WITH DIAERESIS,Ü
0x00DD,221,LATIN CAPITAL LETTER Y WITH ACUTE,Ý
0x00DE,222,LATIN CAPITAL LETTER THORN,Ţ
0x00DF,223,LATIN SMALL LETTER SHARP S,ß
0x00E0,224,LATIN SMALL LETTER A WITH GRAVE,ŕ
0x00E1,225,LATIN SMALL LETTER A WITH ACUTE,á
0x00E2,226,LATIN SMALL LETTER A WITH CIRCUMFLEX,â
0x00E3,227,LATIN SMALL LETTER A WITH TILDE,ă
0x00E4,228,LATIN SMALL LETTER A WITH DIAERESIS,ä
0x00E5,229,LATIN SMALL LETTER A WITH RING ABOVE,ĺ
0x00E6,230,LATIN SMALL LETTER AE,ć
0x00E7,231,LATIN SMALL LETTER C WITH CEDILLA,ç
0x00E8,232,LATIN SMALL LETTER E WITH GRAVE,č
0x00E9,233,LATIN SMALL LETTER E WITH ACUTE,é
0x00EA,234,LATIN SMALL LETTER E WITH CIRCUMFLEX,ę
0x00EB,235,LATIN SMALL LETTER E WITH DIAERESIS,ë
0x00EC,236,LATIN SMALL LETTER I WITH GRAVE,ě
0x00ED,237,LATIN SMALL LETTER I WITH ACUTE,í
0x00EE,238,LATIN SMALL LETTER I WITH CIRCUMFLEX,î
0x00EF,239,LATIN SMALL LETTER I WITH DIAERESIS,ď
0x00F0,240,LATIN SMALL LETTER ETH,đ
0x00F1,241,LATIN SMALL LETTER N WITH TILDE,ń
0x00F2,242,LATIN SMALL LETTER O WITH GRAVE,ň
0x00F3,243,LATIN SMALL LETTER O WITH ACUTE,ó
0x00F4,244,LATIN SMALL LETTER O WITH CIRCUMFLEX,ô
0x00F5,245,LATIN SMALL LETTER O WITH TILDE,ő
0x00F6,246,LATIN SMALL LETTER O WITH DIAERESIS,ö
0x00F7,247,DIVISION SIGN,÷
0x00F8,248,LATIN SMALL LETTER O WITH STROKE,ř
0x00F9,249,LATIN SMALL LETTER U WITH GRAVE,ů
0x00FA,250,LATIN SMALL LETTER U WITH ACUTE,ú
0x00FB,251,LATIN SMALL LETTER U WITH CIRCUMFLEX,ű
0x00FC,252,LATIN SMALL LETTER U WITH DIAERESIS,ü
0x00FD,253,LATIN SMALL LETTER Y WITH ACUTE,ý
0x00FE,254,LATIN SMALL LETTER THORN,ţ
0x00FF,255,LATIN SMALL LETTER Y WITH DIAERESIS,˙
,,,
0x0100,256,LATIN CAPITAL LETTER A WITH MACRON,Ā
0x0101,257,LATIN SMALL LETTER A WITH MACRON,ā
0x0102,258,LATIN CAPITAL LETTER A WITH BREVE,Ă
0x0103,259,LATIN SMALL LETTER A WITH BREVE,ă
0x0104,260,LATIN CAPITAL LETTER A WITH OGONEK,Ą
0x0105,261,LATIN SMALL LETTER A WITH OGONEK,ą
0x0106,262,LATIN CAPITAL LETTER C WITH ACUTE,Ć
0x0107,263,LATIN SMALL LETTER C WITH ACUTE,ć
0x0108,264,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,Ĉ
0x0109,265,LATIN SMALL LETTER C WITH CIRCUMFLEX,ĉ
0x010A,266,LATIN CAPITAL LETTER C WITH DOT ABOVE,Ċ
0x010B,267,LATIN SMALL LETTER C WITH DOT ABOVE,ċ
0x010C,268,LATIN CAPITAL LETTER C WITH CARON,Č
0x010D,269,LATIN SMALL LETTER C WITH CARON,č
0x010E,270,LATIN CAPITAL LETTER D WITH CARON,Ď
0x010F,271,LATIN SMALL LETTER D WITH CARON,ď
0x0110,272,LATIN CAPITAL LETTER D WITH STROKE,Đ
0x0111,273,LATIN SMALL LETTER D WITH STROKE,đ
0x0112,274,LATIN CAPITAL LETTER E WITH MACRON,Ē
0x0113,275,LATIN SMALL LETTER E WITH MACRON,ē
0x0114,276,LATIN CAPITAL LETTER E WITH BREVE,Ĕ
0x0115,277,LATIN SMALL LETTER E WITH BREVE,ĕ
0x0116,278,LATIN CAPITAL LETTER E WITH DOT ABOVE,Ė
0x0117,279,LATIN SMALL LETTER E WITH DOT ABOVE,ė
0x0118,280,LATIN CAPITAL LETTER E WITH OGONEK,Ę
0x0119,281,LATIN SMALL LETTER E WITH OGONEK,ę
0x011A,282,LATIN CAPITAL LETTER E WITH CARON,Ě
0x011B,283,LATIN SMALL LETTER E WITH CARON,ě
0x011C,284,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,Ĝ
0x011D,285,LATIN SMALL LETTER G WITH CIRCUMFLEX,ĝ
0x011E,286,LATIN CAPITAL LETTER G WITH BREVE,Ğ
0x011F,287,LATIN SMALL LETTER G WITH BREVE,ğ
0x0120,288,LATIN CAPITAL LETTER G WITH DOT ABOVE,Ġ
0x0121,289,LATIN SMALL LETTER G WITH DOT ABOVE,ġ
0x0122,290,LATIN CAPITAL LETTER G WITH CEDILLA,Ģ
0x0123,291,LATIN SMALL LETTER G WITH CEDILLA,ģ
0x0124,292,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,Ĥ
0x0125,293,LATIN SMALL LETTER H WITH CIRCUMFLEX,ĥ
0x0126,294,LATIN CAPITAL LETTER H WITH STROKE,Ħ
0x0127,295,LATIN SMALL LETTER H WITH STROKE,ħ
0x0128,296,LATIN CAPITAL LETTER I WITH TILDE,Ĩ
0x0129,297,LATIN SMALL LETTER I WITH TILDE,ĩ
0x012A,298,LATIN CAPITAL LETTER I WITH MACRON,Ī
0x012B,299,LATIN SMALL LETTER I WITH MACRON,ī
0x012C,300,LATIN CAPITAL LETTER I WITH BREVE,Ĭ
0x012D,301,LATIN SMALL LETTER I WITH BREVE,ĭ
0x012E,302,LATIN CAPITAL LETTER I WITH OGONEK,Į
0x012F,303,LATIN SMALL LETTER I WITH OGONEK,į
0x0130,304,LATIN CAPITAL LETTER I WITH DOT ABOVE,İ
0x0131,305,LATIN SMALL LETTER DOTLESS I,ı
0x0132,306,LATIN CAPITAL LIGATURE IJ,Ĳ
0x0133,307,LATIN SMALL LIGATURE IJ,ĳ
0x0134,308,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,Ĵ
0x0135,309,LATIN SMALL LETTER J WITH CIRCUMFLEX,ĵ
0x0136,310,LATIN CAPITAL LETTER K WITH CEDILLA,Ķ
0x0137,311,LATIN SMALL LETTER K WITH CEDILLA,ķ
0x0138,312,LATIN SMALL LETTER KRA,ĸ
0x0139,313,LATIN CAPITAL LETTER L WITH ACUTE,Ĺ
0x013A,314,LATIN SMALL LETTER L WITH ACUTE,ĺ
0x013B,315,LATIN CAPITAL LETTER L WITH CEDILLA,Ļ
0x013C,316,LATIN SMALL LETTER L WITH CEDILLA,ļ
0x013D,317,LATIN CAPITAL LETTER L WITH CARON,Ľ
0x013E,318,LATIN SMALL LETTER L WITH CARON,ľ
0x013F,319,LATIN CAPITAL LETTER L WITH MIDDLE DOT,Ŀ
0x0140,320,LATIN SMALL LETTER L WITH MIDDLE DOT,ŀ
0x0141,321,LATIN CAPITAL LETTER L WITH STROKE,Ł
0x0142,322,LATIN SMALL LETTER L WITH STROKE,ł
0x0143,323,LATIN CAPITAL LETTER N WITH ACUTE,Ń
0x0144,324,LATIN SMALL LETTER N WITH ACUTE,ń
0x0145,325,LATIN CAPITAL LETTER N WITH CEDILLA,Ņ
0x0146,326,LATIN SMALL LETTER N WITH CEDILLA,ņ
0x0147,327,LATIN CAPITAL LETTER N WITH CARON,Ň
0x0148,328,LATIN SMALL LETTER N WITH CARON,ň
0x0149,329,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE,ŉ
0x014A,330,LATIN CAPITAL LETTER ENG,Ŋ
0x014B,331,LATIN SMALL LETTER ENG,ŋ
0x014C,332,LATIN CAPITAL LETTER O WITH MACRON,Ō
0x014D,333,LATIN SMALL LETTER O WITH MACRON,ō
0x014E,334,LATIN CAPITAL LETTER O WITH BREVE,Ŏ
0x014F,335,LATIN SMALL LETTER O WITH BREVE,ŏ
0x0150,336,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,Ő
0x0151,337,LATIN SMALL LETTER O WITH DOUBLE ACUTE,ő
0x0152,338,LATIN CAPITAL LIGATURE OE,Œ
0x0153,339,LATIN SMALL LIGATURE OE,œ
0x0154,340,LATIN CAPITAL LETTER R WITH ACUTE,Ŕ
0x0155,341,LATIN SMALL LETTER R WITH ACUTE,ŕ
0x0156,342,LATIN CAPITAL LETTER R WITH CEDILLA,Ŗ
0x0157,343,LATIN SMALL LETTER R WITH CEDILLA,ŗ
0x0158,344,LATIN CAPITAL LETTER R WITH CARON,Ř
0x0159,345,LATIN SMALL LETTER R WITH CARON,ř
0x015A,346,LATIN CAPITAL LETTER S WITH ACUTE,Ś
0x015B,347,LATIN SMALL LETTER S WITH ACUTE,ś
0x015C,348,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,Ŝ
0x015D,349,LATIN SMALL LETTER S WITH CIRCUMFLEX,ŝ
0x015E,350,LATIN CAPITAL LETTER S WITH CEDILLA,Ş
0x015F,351,LATIN SMALL LETTER S WITH CEDILLA,ş
0x0160,352,LATIN CAPITAL LETTER S WITH CARON,Š
0x0161,353,LATIN SMALL LETTER S WITH CARON,š
0x0162,354,LATIN CAPITAL LETTER T WITH CEDILLA,Ţ
0x0163,355,LATIN SMALL LETTER T WITH CEDILLA,ţ
0x0164,356,LATIN CAPITAL LETTER T WITH CARON,Ť
0x0165,357,LATIN SMALL LETTER T WITH CARON,ť
0x0166,358,LATIN CAPITAL LETTER T WITH STROKE,Ŧ
0x0167,359,LATIN SMALL LETTER T WITH STROKE,ŧ
0x0168,360,LATIN CAPITAL LETTER U WITH TILDE,Ũ
0x0169,361,LATIN SMALL LETTER U WITH TILDE,ũ
0x016A,362,LATIN CAPITAL LETTER U WITH MACRON,Ū
0x016B,363,LATIN SMALL LETTER U WITH MACRON,ū
0x016C,364,LATIN CAPITAL LETTER U WITH BREVE,Ŭ
0x016D,365,LATIN SMALL LETTER U WITH BREVE,ŭ
0x016E,366,LATIN CAPITAL LETTER U WITH RING ABOVE,Ů
0x016F,367,LATIN SMALL LETTER U WITH RING ABOVE,ů
0x0170,368,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,Ű
0x0171,369,LATIN SMALL LETTER U WITH DOUBLE ACUTE,ű
0x0172,370,LATIN CAPITAL LETTER U WITH OGONEK,Ų
0x0173,371,LATIN SMALL LETTER U WITH OGONEK,ų
0x0174,372,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,Ŵ
0x0175,373,LATIN SMALL LETTER W WITH CIRCUMFLEX,ŵ
0x0176,374,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,Ŷ
0x0177,375,LATIN SMALL LETTER Y WITH CIRCUMFLEX,ŷ
0x0178,376,LATIN CAPITAL LETTER Y WITH DIAERESIS,Ÿ
0x0179,377,LATIN CAPITAL LETTER Z WITH ACUTE,Ź
0x017A,378,LATIN SMALL LETTER Z WITH ACUTE,ź
0x017B,379,LATIN CAPITAL LETTER Z WITH DOT ABOVE,Ż
0x017C,380,LATIN SMALL LETTER Z WITH DOT ABOVE,ż
0x017D,381,LATIN CAPITAL LETTER Z WITH CARON,Ž
0x017E,382,LATIN SMALL LETTER Z WITH CARON,ž
0x017F,383,LATIN SMALL LETTER LONG S,ſ
,,,
0x0180,384,LATIN SMALL LETTER B WITH STROKE,ƀ
0x0181,385,LATIN CAPITAL LETTER B WITH HOOK,Ɓ
0x0182,386,LATIN CAPITAL LETTER B WITH TOPBAR,Ƃ
0x0183,387,LATIN SMALL LETTER B WITH TOPBAR,ƃ
0x0184,388,LATIN CAPITAL LETTER TONE SIX,Ƅ
0x0185,389,LATIN SMALL LETTER TONE SIX,ƅ
0x0186,390,LATIN CAPITAL LETTER OPEN O,Ɔ
0x0187,391,LATIN CAPITAL LETTER C WITH HOOK,Ƈ
0x0188,392,LATIN SMALL LETTER C WITH HOOK,ƈ
